[2026-02-20 01:29:13.076030800 -05:00] Public subs not fully confirmed after 5 polls (ohlc: true, ticker: false)
[2026-02-20 03:19:25.326708600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=14089058.644
[2026-02-20 03:19:25.433056600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=18564595.466
[2026-02-20 03:19:25.622084400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=23040132.288
[2026-02-20 03:19:25.729170400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=27515669.11
[2026-02-20 03:19:25.840811 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=31991205.932
[2026-02-20 03:19:25.932484400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=36466742.754
[2026-02-20 03:19:26.041011500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=40942279.576
[2026-02-20 03:19:26.133440600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=45417816.398
[2026-02-20 03:19:26.241997900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=49893353.22
[2026-02-20 03:19:26.409406700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=54368890.042
[2026-02-20 03:19:26.614032800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=58844426.864
[2026-02-20 03:19:26.720820900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=63319963.686
[2026-02-20 03:19:26.831632500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=67795500.508
[2026-02-20 03:19:26.939311400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=72271037.33
[2026-02-20 03:19:27.029101400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=76746574.152
[2026-02-20 03:19:27.139113800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=81222110.974
[2026-02-20 03:19:27.240900300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=85697647.796
[2026-02-20 03:19:27.331655800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=90173184.618
[2026-02-20 03:19:27.510644500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=94648721.44
[2026-02-20 03:19:27.738270600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=99124258.262
[2026-02-20 03:19:41.212715800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=100050587.78474
[2026-02-20 03:20:12.963823300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=921612174.87336
