pair,total_usd,total_quantity,usd_balance,last_updated,total_fees,total_pl,highest_price_since_buy,last_synced
SOLUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
SHIBUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
LINKUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
INJUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
ATOMUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
DOTUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
USD,0.000000000000000000,0.000000000000000000,174.314100000000000000,2026-02-17 17:04:11,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-17 17:04:11
