pair,total_usd,total_quantity,usd_balance,last_updated,total_fees,total_pl,highest_price_since_buy,last_synced
SHIBUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-20 01:28:26,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-20 01:28:26
DOTUSD,197.221042546283988624,152.459400940000000000,0.000000000000000000,2026-02-20 09:00:38,0.680950000000000000,-3.158223000000000000,1.302500000000000000,2026-02-20 09:00:38
ATOMUSD,373.273670000000000000,159.490000000000000000,0.000000000000000000,2026-02-20 09:00:48,0.000000000000000000,-0.746547000000000000,2.347000000000000000,2026-02-20 09:00:48
USD,0.000000000000000000,0.000000000000000000,75.474837155758000000,2026-02-20 09:00:49,0.000000000000000000,-11.850213000000000000,0.000000000000000000,2026-02-20 01:28:30
SOLUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-20 08:35:52,0.546880000000000000,-6.654103000000000000,0.000000000000000000,2026-02-20 08:35:52
LINKUSD,0.000000000000000000,0.000000000000000000,0.000000000000000000,2026-02-20 08:36:16,0.195929000000000000,-2.443708000000000000,0.000000000000000000,2026-02-20 08:36:16
INJUSD,-19.659445051800162706,0.000000000000000000,0.000000000000000000,2026-02-20 06:07:26,1.516000000000000000,1.152368000000000000,0.000000000000000000,2026-02-20 06:07:26
